age_trun,sex,ht_l,ht_m,ht_s
3,1,0.455,102.553,0.044
4,1,0.221,109.33,0.045
5,1,0.165,115.986,0.046
6,1,0.265,121.834,0.047
7,1,0.479,126.457,0.049
8,1,0.673,130.402,0.051
9,1,0.678,135.692,0.054
10,1,0.633,140.734,0.056
11,1,0.785,146.134,0.058
12,1,1.333,152.984,0.057
13,1,2.107,159.969,0.053
14,1,2.52,165.797,0.047
15,1,2.384,169.029,0.042
16,1,2.099,170.929,0.038
17,1,1.963,172.238,0.036
3,2,0.576,101.398,0.044
4,2,0.017,108.2,0.045
5,2,-0.299,114.883,0.046
6,2,-0.235,120.642,0.047
7,2,0.111,125.119,0.05
8,2,0.507,129.419,0.053
9,2,0.907,134.949,0.055
10,2,1.534,141.24,0.055
11,2,2.239,147.871,0.052
12,2,2.577,152.884,0.046
13,2,2.202,156.318,0.041
14,2,1.545,158.112,0.038
15,2,1.053,158.746,0.036
16,2,0.886,159.459,0.035
17,2,1.004,159.837,0.035
